driver,target,mean_corr_k1,mean_abs_k1,pct_gt_2sigma,mean_abs_bestlag
CL,FGBS,-0.013490182369205512,0.07720269365168697,6.186813186813187,0.17596290085081218
CL,FGBM,-0.011771538049548481,0.07710011777640625,6.032967032967033,0.1785442242072168
CL,FGBL,-0.0047442776067266115,0.07432946576772867,5.362637362637362,0.1736780892354485
CL,FGBX,-0.007660263258304681,0.07605361033984903,5.549450549450549,0.17652458052837347
CL,FOAT,-0.01139433689376263,0.07706269625823643,5.615384615384615,0.17951941345915987
CL,FBTP,-0.00982047667449981,0.07815591707373316,6.615384615384615,0.1799682633962928
BRN,FGBS,-0.010935218600137873,0.08067251096608401,7.197802197802198,0.1833418879461234
BRN,FGBM,-0.011520606852482148,0.0788177570786601,6.835164835164835,0.18423456958590476
BRN,FGBL,-0.0031986844147332658,0.07552738378900897,6.153846153846154,0.18068545249151513
BRN,FGBX,-0.005476937000950931,0.07749985308121835,6.549450549450549,0.17949711728846296
BRN,FOAT,-0.010852172679139516,0.07881005834975827,6.593406593406593,0.18377841745687953
BRN,FBTP,-0.0063406910840610835,0.07817595693181906,6.813186813186813,0.18422095320826445
ES,FGBS,-0.005334263727619713,0.07902708607480724,6.615384615384615,0.17724692355474755
ES,FGBM,-0.00211518206354625,0.0754599791970561,5.670329670329671,0.17757791822888952
ES,FGBL,-0.0038137718424973203,0.07936801686480824,6.65934065934066,0.1785460193943986
ES,FGBX,-0.0032398452085017435,0.07810824242002025,6.648351648351649,0.18095011640594452
ES,FOAT,0.00010571585065717544,0.07790999111136919,7.1208791208791204,0.18076044459691876
ES,FBTP,0.003374785372061307,0.07890438354095769,7.2967032967032965,0.179649607380058
ZN,FGBS,0.012020114950965218,0.08241749877030745,7.142857142857143,0.1854248032223721
ZN,FGBM,0.0069592212542163665,0.08234530866460492,7.747252747252747,0.18796523626940237
ZN,FGBL,-0.0002749632190652869,0.08476625038600477,8.54945054945055,0.1881921245233557
ZN,FGBX,0.00820243345833754,0.080801222636829,7.010989010989011,0.18858298647296792
ZN,FOAT,0.005652012529807352,0.08211274063959953,7.934065934065934,0.18588353509053238
ZN,FBTP,0.00177109226189939,0.083540976859965,8.494505494505495,0.18641699522996144
GC,FGBS,0.006735925241638628,0.07650851834859553,5.615384615384615,0.1765618926866859
GC,FGBM,0.006915392651073433,0.07740779953670955,6.065934065934066,0.17673059522763349
GC,FGBL,0.0019733529227202217,0.07536075257447516,5.076923076923077,0.17586305191801183
GC,FGBX,-0.0008048618678193967,0.07822906421849077,5.978021978021978,0.1782329274977406
GC,FOAT,0.0014089040168037276,0.07622647750077491,6.142857142857143,0.1764452530570011
GC,FBTP,0.0043167737146187065,0.07687612153701998,6.021978021978022,0.1779184782920617
6E,FGBS,0.005328451817212695,0.07555053755967289,5.384615384615385,0.17533251531232416
6E,FGBM,0.005335929127603912,0.07914801278392099,6.065934065934066,0.17726341497895107
6E,FGBL,0.0013807819384020232,0.07701622815180592,6.395604395604396,0.17717810207668905
6E,FGBX,0.0018184809804405173,0.07658493564224624,5.648351648351649,0.17500935378729668
6E,FOAT,0.002510125915909774,0.07670563083685494,6.450549450549451,0.18033065867571618
6E,FBTP,-0.001648127308764902,0.07835885861341137,6.7032967032967035,0.18016883958675972
TFM,FGBS,-0.004987229811123559,0.08067838611410219,7.252747252747253,0.18402087211277085
TFM,FGBM,-0.006497506263571099,0.08250134573960567,8.054945054945055,0.1858532704433356
TFM,FGBL,-0.002353509329563319,0.07721047642156853,6.516483516483516,0.18538202849763782
TFM,FGBX,-0.005649174583403181,0.07858508584072796,6.483516483516484,0.18229350599713395
TFM,FOAT,-0.0007120121891217509,0.08085706117256837,7.472527472527473,0.1861455057450643
TFM,FBTP,-0.0037800396279064875,0.07710144548620093,7.076923076923077,0.18434736660932213
