step,added,n_sources,set,val_acc,test_acc,test_std
0,FGBL(self),1,FGBL,0.5055994729907773,0.5198412698412699,0.02805979290422808
1,CL,2,FGBL+CL,0.5527009222661396,0.45535714285714285,0.04460977610301016
2,ZN,3,FGBL+CL+ZN,0.580368906455863,0.5109126984126985,0.03299263719903948
3,BRN,4,FGBL+CL+ZN+BRN,0.5487483530961792,0.4226190476190476,0.018979292132647794
4,TFM,5,FGBL+CL+ZN+BRN+TFM,0.6001317523056654,0.4454365079365079,0.03775059045722309
5,ES,6,FGBL+CL+ZN+BRN+TFM+ES,0.5905797101449276,0.46527777777777785,0.07311716576463602
6,6E,7,FGBL+CL+ZN+BRN+TFM+ES+6E,0.5770750988142292,0.5049603174603174,0.018559808466140585
7,GC,8,FGBL+CL+ZN+BRN+TFM+ES+6E+GC,0.5961791831357048,0.5257936507936508,0.0701494822605702
