step,added,n_sources,set,val_acc,test_acc,test_std
0,FGBL(self),1,FGBL,0.5506219692177946,0.5436965382726733,0.0032903211240943395
1,ES,2,FGBL+ES,0.5541752758451052,0.5389937949198697,0.002697575797833477
2,6E,3,FGBL+ES+6E,0.5533530114554782,0.5425951107951912,0.004784664229448745
3,ZN,4,FGBL+ES+6E+ZN,0.5585536580223488,0.5474987380371069,0.0037808079851436556
4,TFM,5,FGBL+ES+6E+ZN+TFM,0.5550973364256097,0.5457749138946407,0.001870624104575576
5,CL,6,FGBL+ES+6E+ZN+TFM+CL,0.5415222433059245,0.5221229821470882,0.008372091682810931
6,GC,7,FGBL+ES+6E+ZN+TFM+CL+GC,0.5337676576006746,0.5164733373853503,0.004290459125882242
7,BRN,8,FGBL+ES+6E+ZN+TFM+CL+GC+BRN,0.5319277531801251,0.5064815100974202,0.011752545610964525
