step,added,n_sources,set,val_acc,test_acc,test_std
0,FGBL(self),1,FGBL,0.6507989337795851,0.6155926142754882,0.000998650733507853
1,TFM,2,FGBL+TFM,0.6531473314865724,0.6167903665286102,0.0011085917785165194
2,ES,3,FGBL+TFM+ES,0.6547531245964854,0.6192354749283672,0.0016606351493457208
3,6E,4,FGBL+TFM+ES+6E,0.6538779689772086,0.6178809934032433,0.0005194801387161796
4,ZN,5,FGBL+TFM+ES+6E+ZN,0.653457600917033,0.6202514214699607,0.0005925368689017645
5,GC,6,FGBL+TFM+ES+6E+ZN+GC,0.6551299196343152,0.6219534962400347,6.161044339332557e-05
6,CL,7,FGBL+TFM+ES+6E+ZN+GC+CL,0.6508869113943685,0.619960331036817,0.0008571309373319909
7,BRN,8,FGBL+TFM+ES+6E+ZN+GC+CL+BRN,0.6501217793759263,0.6204274933325096,0.0005531910996075804
