step,added,n_sources,set,val_acc,test_acc,test_std
0,FGBL(self),1,FGBL,0.5395412513276233,0.49459459459459465,0.005838505133700758
1,ES,2,FGBL+ES,0.538907889736619,0.4918918918918919,0.007644397634449137
2,CL,3,FGBL+ES+CL,0.5578600173443635,0.4972972972972974,0.011466596451673782
3,BRN,4,FGBL+ES+CL+BRN,0.5462500121800306,0.49909909909909905,0.014187401574796065
4,6E,5,FGBL+ES+CL+BRN+6E,0.5388591696142341,0.4765765765765766,0.022214104515203476
5,GC,6,FGBL+ES+CL+BRN+6E+GC,0.5383914564393386,0.5099099099099099,0.014187401574796065
6,ZN,7,FGBL+ES+CL+BRN+6E+GC+ZN,0.5460405156537753,0.490990990990991,0.007093700787398049
7,TFM,8,FGBL+ES+CL+BRN+6E+GC+ZN+TFM,0.5338653570697769,0.48738738738738735,0.005096265089632775
