,FGBS,FGBM,FGBL,FGBX,FOAT,FBTP
CL,-0.62 @0,-0.454 @0,-0.522 @0,-0.343 @0,-0.527 @0,-0.571 @0
BRN,-0.606 @0,-0.448 @0,-0.499 @0,-0.334 @0,-0.507 @0,-0.546 @0
ES,-0.093 @0,-0.066 @0,-0.052 @1,-0.094 @4,0.234 @0,0.317 @0
ZN,0.48 @0,0.567 @0,0.56 @0,0.507 @0,0.618 @0,0.612 @0
GC,0.35 @0,0.324 @0,0.281 @0,0.198 @0,0.324 @0,0.335 @0
6E,0.345 @0,0.329 @0,0.284 @0,0.21 @0,0.347 @0,0.36 @0
TFM,-0.484 @0,-0.354 @0,-0.343 @0,-0.2 @0,-0.377 @0,-0.421 @0
