,FGBS,FGBM,FGBL,FGBX,FOAT,FBTP,CL,BRN,ES,ZN,GC,6E,TFM
FGBS,1.0,0.48274267848832375,0.3976624901624545,0.35373525496147656,0.43588921944487713,0.40123707797164665,-0.28311104876076143,-0.2659878590454357,-0.03126872932280474,0.3778523266061398,0.13599168429799738,0.11334070746962563,-0.15099704309279413
FGBM,0.48274267848832375,1.0,0.5778097310506061,0.540440164825357,0.6702080162245021,0.6057989274034488,-0.36569081777549084,-0.3679785485813691,-0.01013149654490805,0.5433315677520997,0.18899726886308738,0.1434000490188308,-0.19969467099826219
FGBL,0.39766249016245453,0.5778097310506061,1.0,0.5792363299643072,0.5837631940891969,0.5338928298681932,-0.2919153324829404,-0.28552179125527755,-0.0416131508912097,0.4878044151801937,0.1432619972516356,0.07737949717896088,-0.14810265544297918
FGBX,0.35373525496147656,0.540440164825357,0.5792363299643072,1.0,0.6122912035758771,0.5208681506644407,-0.2216588702732402,-0.21996502884027436,-0.10357937106061303,0.5108520494735042,0.07534564702516956,0.04409837178129641,-0.10812191977007245
FOAT,0.4358892194448771,0.6702080162245021,0.583763194089197,0.6122912035758771,1.0,0.7438473910081492,-0.41502129767167345,-0.41248227741796917,0.138302309295665,0.5580996359248217,0.22811815157238097,0.16398540358768793,-0.21806635575695724
FBTP,0.40123707797164665,0.6057989274034487,0.5338928298681932,0.5208681506644407,0.7438473910081492,1.0,-0.41185912303761446,-0.4147419940120892,0.24013901689088635,0.5044732982562117,0.26179927323687796,0.18256944677575493,-0.21822462755265307
CL,-0.28311104876076143,-0.3656908177754909,-0.29191533248294044,-0.2216588702732402,-0.4150212976716734,-0.41185912303761446,0.9999999999999998,0.9443233469680996,-0.10323848021214344,-0.35052360853019676,-0.16048528076712296,-0.2122936221609101,0.37817060180653483
BRN,-0.26598785904543565,-0.3679785485813691,-0.28552179125527755,-0.21996502884027438,-0.41248227741796917,-0.4147419940120893,0.9443233469680996,1.0,-0.10320242851163353,-0.34504545384898533,-0.15815376966365724,-0.21082587807682276,0.3849206247745068
ES,-0.03126872932280474,-0.01013149654490805,-0.0416131508912097,-0.10357937106061303,0.13830230929566498,0.24013901689088635,-0.10323848021214344,-0.10320242851163353,0.9999999999999998,-0.08082743650718384,0.23765552548331645,0.09673086833398623,-0.0504845616901121
ZN,0.3778523266061398,0.5433315677520998,0.4878044151801937,0.5108520494735042,0.5580996359248217,0.5044732982562117,-0.35052360853019676,-0.34504545384898533,-0.08082743650718383,1.0,0.21209855224518756,0.31616824111914643,-0.17252226761771985
GC,0.13599168429799738,0.1889972688630874,0.14326199725163563,0.07534564702516956,0.22811815157238097,0.2617992732368779,-0.16048528076712296,-0.15815376966365724,0.23765552548331645,0.21209855224518753,0.9999999999999998,0.3223688085150219,-0.09181736710191256
6E,0.11334070746962563,0.1434000490188308,0.07737949717896088,0.04409837178129641,0.16398540358768793,0.18256944677575493,-0.2122936221609101,-0.21082587807682276,0.09673086833398623,0.31616824111914643,0.322368808515022,1.0,-0.1320236421688145
TFM,-0.1509970430927941,-0.19969467099826219,-0.14810265544297918,-0.10812191977007246,-0.21806635575695724,-0.21822462755265307,0.3781706018065349,0.38492062477450684,-0.05048456169011209,-0.17252226761771983,-0.09181736710191256,-0.13202364216881446,0.9999999999999998
