,FGBS,FGBM,FGBL,FGBX,FOAT,FBTP
CL,-0.448 @0,-0.423 @0,-0.351 @0,-0.238 @0,-0.417 @0,-0.422 @0
BRN,-0.452 @0,-0.427 @0,-0.356 @0,-0.237 @0,-0.421 @0,-0.433 @0
ES,-0.038 @5,-0.051 @5,-0.045 @4,-0.042 @5,0.172 @0,0.264 @0
ZN,0.547 @0,0.628 @0,0.602 @0,0.545 @0,0.593 @0,0.556 @0
GC,0.262 @0,0.226 @0,0.184 @0,0.108 @0,0.241 @0,0.266 @0
6E,0.218 @0,0.2 @0,0.154 @0,0.078 @5,0.185 @0,0.193 @0
TFM,-0.299 @0,-0.28 @0,-0.217 @0,-0.158 @0,-0.272 @0,-0.285 @0
