,FGBS,FGBM,FGBL,FGBX,FOAT,FBTP
CL,-0.124 @0,-0.106 @0,-0.08 @0,-0.113 @0,-0.145 @0,-0.176 @0
BRN,-0.084 @0,-0.069 @0,-0.062 @0,-0.083 @0,-0.1 @0,-0.127 @0
ES,-0.025 @0,-0.021 @3,0.022 @11,-0.051 @0,0.031 @0,0.074 @0
ZN,0.164 @0,0.168 @0,0.128 @0,0.224 @0,0.202 @0,0.225 @0
GC,0.049 @0,0.046 @0,0.035 @0,0.034 @0,0.066 @0,0.094 @0
6E,0.046 @0,0.038 @0,0.022 @0,0.018 @0,0.058 @0,0.078 @0
TFM,-0.062 @7,-0.01 @9,-0.008 @0,0.013 @29,-0.012 @0,-0.026 @6
