lag_s,CL->FGBS,CL->FGBM,CL->FGBL,CL->FGBX,CL->FBTP,CL->FOAT,FESX->FGBS,FESX->FGBM,FESX->FGBL,FESX->FGBX,FESX->FBTP,FESX->FOAT,ZN->FGBS,ZN->FGBM,ZN->FGBL,ZN->FGBX,ZN->FBTP,ZN->FOAT
-60,-0.0003360329964063295,0.0005567307793269711,0.00010227707306355564,-0.0005450139695056922,9.638792702878246e-05,0.0005485176832852756,3.4401168321602626e-05,0.0001417353982282292,-0.00012483257454673857,-0.00026706246123779507,0.00010383420814319587,-0.00012011040306597261,-0.00032075932353656136,0.00043041948832641384,0.00019248267394643642,0.0007375784645232855,-0.0004559615519515455,-0.000191070799146009
-59,-3.503156953343382e-05,-6.865017863602241e-05,0.0005013780909829653,-0.0002616405285234421,0.00010511504236099008,0.0006261309505184474,-0.00017469549814873574,0.00011644107908956231,0.00010168291450329008,0.00032385621324336245,0.0007052938983767088,0.00045644243731556846,0.0005533532409420615,0.0006405945111395147,0.00042352863188223176,-0.00025422487279594456,0.0007838918403036986,0.00019719903620862855
-58,0.0005985053621135232,0.0007313125554472459,-0.00020948131066262068,-0.00028142229727776,3.3768483493174997e-06,-0.00015970761800587007,-0.00023751626813060003,-0.00042639298932766194,9.883774684814517e-05,0.0005734053609296816,-0.00010211097937817557,0.00014595574633248458,-0.0005425037430452438,-0.0002422478192798802,-0.0002116352347468316,0.0003575763250882561,2.2569501310680725e-05,7.674399665721904e-05
-57,3.907401585369427e-05,-0.00044423526824712505,-0.00041073810053382227,0.0005132875978770857,0.00038775722625862167,0.0001759107877129206,0.000351889951214392,-9.186783450861518e-05,0.0002520006877607897,-0.00043126676889515715,-1.964154883660379e-05,0.00039705223211402343,-0.0002158616303867941,-0.0003533655327528221,0.0004421006864806527,-0.00012429977425813574,0.00021859855420956287,0.0004890158603456414
-56,-0.000384391438715314,-0.0002092982652180673,0.00011039627283565846,0.00018028889213326984,-0.0006122750722476717,-1.2470429691220439e-06,0.00013311198098558616,-0.0001829687881920972,0.0002597935273435678,0.00010143226621363808,-0.0003956510079596072,-0.0006761960857636565,0.0001525831594488744,0.0009045768121204702,0.000685736577057279,-0.0009017848436260132,-0.000357326630865856,0.0003325005841448804
-55,-0.0004276495590796365,-0.0009525124184592867,-0.00011627500926869102,-3.911708637275636e-05,-0.0001267170561248543,0.00028785549990616714,0.0005846020981297573,0.00034508239686145204,-1.559881413075849e-06,0.0001589355187250469,0.0003073441325976407,0.00010154003835646876,-0.00037452763317986405,-0.00046887735549799186,-0.00047623207567845026,-0.00032939515605050136,-0.00016203339056804404,0.00033222455013636804
-54,-6.537727205805253e-05,0.0006184799958479194,0.0004127976806267263,-0.00012589436008450975,0.0004532089701685228,-0.00016755757670995042,0.00019263830701057524,7.557820505628802e-05,-7.55721386743346e-05,-0.0005494214596917813,5.185932432708243e-05,0.00010481228856999574,-0.0003255890468938261,0.0003516527616790107,-0.00045660971818932915,-0.00027281063279084935,0.0005435065448603831,-0.0001431960097748042
-53,5.296091092677882e-05,-5.3718216982211004e-05,-0.0004658542316178148,-0.000400672282476156,-0.0007544677082815653,0.0002140297916049984,-0.00017831672375651357,-0.0001850004452231711,0.0003752861421214077,-0.00020452123266555773,0.00047194512065037314,5.700055791607074e-05,0.0006616903890249191,0.00028156176082850073,0.0005388202177690691,0.0003794365213257691,0.000995912941895144,-9.240018154369545e-05
-52,3.4169699835846064e-05,-0.0005011318704076968,-0.00012852694465512304,6.61128698196666e-05,-3.6040645319602653e-06,-0.0008053673619264137,0.0002712909295581944,0.0002450248237802311,-0.00014390166739632437,0.00010952565199937458,-0.00025269202657904284,-0.0003002909786586869,0.0002262305722690072,-0.00023013165421462755,-0.0005759641248174897,-0.0002188462166089076,-0.0005675467610622162,5.083543506239186e-05
-51,0.00015501364990496127,0.00029785781530204344,-0.00013184412216525553,0.00010809546625772267,-0.00022905189148753887,1.9605610100906965e-05,-9.723049586312236e-06,-6.748012207274532e-05,0.0006068851003878835,0.0001469448547929387,0.0004889331960242553,-0.00032644391941652544,0.0008498834873372117,-0.00019049788457925867,-0.00011211488065895669,-4.378629388903171e-05,-0.0007447178048038244,6.770848198219954e-05
