,FGBS,FGBM,FGBL,FGBX,FBTP,FOAT
FGBS,0.0,-0.03563095158692736,-0.07901404483433533,-0.005881363060409955,-0.07648043171805857,-0.04317341720904422
FGBM,0.03563095158692736,0.0,-0.05123280642370301,0.02395197756466387,-0.03295262930696843,0.0009199108839489656
FGBL,0.07901404483433533,0.05123280642370301,0.0,0.09203834357789237,0.02473850154486297,0.08044875435421886
FGBX,0.005881363060409955,-0.02395197756466387,-0.09203834357789237,0.0,-0.07307631252801776,-0.034083214575308704
FBTP,0.07648043171805857,0.03295262930696843,-0.02473850154486297,0.07307631252801776,0.0,0.06630395629364262
FOAT,0.04317341720904422,-0.0009199108839489656,-0.08044875435421886,0.034083214575308704,-0.06630395629364262,0.0
