,FGBS,FGBM,FGBL,FGBX,FBTP,FOAT
FGBS,0.0,0.04537346002667117,0.031962540903860366,0.04914349987367862,0.040151936021612857,0.0558371155246635
FGBM,0.08100441161359853,0.0,0.0438586258559399,0.07281547175180661,0.05966566813175072,0.08113214238253817
FGBL,0.1109765857381957,0.09509143227964291,0.0,0.12468884301774895,0.09482887652824902,0.13023246592921098
FGBX,0.05502486293408858,0.04886349418714274,0.03265049943985659,0.0,0.043152278413774336,0.06542860179425165
FBTP,0.11663236773967142,0.09261829743871915,0.07009037498338605,0.1162285909417921,0.0,0.1266680078312564
FOAT,0.09901053273370772,0.0802122314985892,0.049783711574992125,0.09951181636956036,0.060364051537613775,0.0
