,FGBS,FGBM,FGBL,FGBX,FBTP,FOAT
FGBS,44,1,1,1,1,1
FGBM,1,48,1,1,1,1
FGBL,1,1,50,1,1,1
FGBX,1,1,1,42,1,1
FBTP,1,1,1,1,47,1
FOAT,1,1,1,1,1,48
