,FGBS,FGBM,FGBL,FGBX,FBTP,FOAT
FGBS,0.0,0.03533037543738026,0.03262297779581762,0.04089133386934833,0.04363485787489828,0.05508679571722688
FGBM,0.05409330763844279,0.0,0.041834925464185845,0.0535085875178733,0.05893010654810208,0.07502532949369937
FGBL,0.07452763765692567,0.0718751081025652,0.0,0.0861284873647703,0.0926041635394167,0.11853012455411356
FGBX,0.035514208049095136,0.0352785307694867,0.032331842449344964,0.0,0.04510584191036687,0.061236757001177804
FBTP,0.08046032315232379,0.07382456296689004,0.07260152471388866,0.08986159550648688,0.0,0.12866136014186702
FOAT,0.0708598534949337,0.06278723447375624,0.05174988207238137,0.07734993254143138,0.06868586781853872,0.0
