,FGBS,FGBM,FGBL,FGBX,FBTP,FOAT
FGBS,0.0,-0.01876293220106253,-0.04190465986110806,0.005377125820253195,-0.036825465277425515,-0.015773057777706823
FGBM,0.01876293220106253,0.0,-0.030040182638379355,0.018230056748386604,-0.014894456418787956,0.012238095019943135
FGBL,0.04190465986110806,0.030040182638379355,0.0,0.05379664491542534,0.020002638825528038,0.0667802424817322
FGBX,-0.005377125820253195,-0.018230056748386604,-0.05379664491542534,0.0,-0.04475575359612001,-0.01611317554025358
FBTP,0.036825465277425515,0.014894456418787956,-0.020002638825528038,0.04475575359612001,0.0,0.0599754923233283
FOAT,0.015773057777706823,-0.012238095019943135,-0.0667802424817322,0.01611317554025358,-0.0599754923233283,0.0
